source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles,axism3905-rm122.8mm h.264(mpeg-4part10/avc)mainandhighprofiles
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,H.265(MPEG-HPart2/HEVC)MainProfile,h.265(mpeg-hpart2/hevc)mainprofile
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Camera MotionJPEG,camera motionjpeg
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Imagesensor Resolution,imagesensor resolution
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360,1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pixelsize2.8µm 16:10:1280x800to640x400,pixelsize2.8µm 16:10:1280x800to640x400
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,4:3:1280x960to320x240,4:3:1280x960to320x240
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Lens,lens
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"3.6mm,F2.0: Frame rate","3.6mm,f2.0: frame rate"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Horizontalfieldofview:88° H.264andH.265:25/30fps(50/60Hz)inallresolutions,horizontalfieldofview:88° h.264andh.265:25/30fps(50/60hz)inallresolutions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Verticalfieldofview:47° MotionJPEG:15fps(50/60Hz)inallresolutions,verticalfieldofview:47° motionjpeg:15fps(50/60hz)inallresolutions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimumfocusdistance:0.3m(1ft),minimumfocusdistance:0.3m(1ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"M12mount,fixediris","m12mount,fixediris"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Videostreaming,videostreaming
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"2.8mm,F1.2:","2.8mm,f1.2:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Upto4uniqueandconfigurablevideostreams1,upto4uniqueandconfigurablevideostreams1
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Horizontalfieldofview:107°,horizontalfieldofview:107°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"Multiple,individuallyconfigurablestreamsinH.264,","multiple,individuallyconfigurablestreamsinh.264,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Verticalfieldofview:56°,verticalfieldofview:56°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,H.265andMotionJPEG,h.265andmotionjpeg
