normalized_feature,document_4,document_3,document_2,document_1
acc-mnt-rec-2 recess ceiling mount $149,present,present,missing,missing
access control keys etc.) against malicious extraction in,missing,missing,missing,present
accessories pricing,present,present,missing,missing
"accessoryonlydimensions n/a 219mmx115mm;8.62""x4.52"" 155mmx65mm;6.1""x2.55""",missing,missing,present,missing
accversion7.2orhigher allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.appearancesearchwhenpairedwith,missing,missing,present,missing
additional hardware.,present,present,missing,missing
"address,storagefailure,systemready,withinoperating",missing,missing,missing,present
"adjustmentrange pan360°,azimuth349°,tilt92°",missing,missing,present,missing
"alerts streaming and storage selectable storage location, low bandwidth",present,present,missing,missing
"algorithms, which ensure that relevant forensic",missing,missing,missing,present
allconnectorssupportpoe,missing,missing,missing,present
allowingvideotobetracedbacktotheaxiscamerafrom,missing,missing,missing,present
"also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status",present,present,missing,missing
amountoftime.,missing,missing,present,missing
analytics specifications,missing,missing,present,missing
and vehicle detection • led light status indicator,present,present,missing,missing
andaxiscameraapplicationplatform(acap);,missing,missing,missing,present
andencryptedfirmware,missing,missing,present,missing
andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore,missing,missing,present,missing
"andonvif®profilet,specificationatonvif.org axisvideomotiondetection,activetamperingalarm3",missing,missing,missing,present
aperture f1.6 minimum illumination,present,present,missing,missing
applicationprogramming interface,missing,missing,missing,present
appropriateserverhardware.unusualactivitydetection.h.265supported.,missing,missing,present,missing
approvals,missing,missing,missing,present
archiving of footage,present,present,missing,missing
area,missing,missing,present,missing
aspectratio,missing,missing,present,missing
audio not supported,present,present,missing,missing
audio support: no,present,present,missing,missing
audioanalytics&recording dynamicprivacymasking,missing,missing,present,missing
"audiocompressionmethod g.711pcm8khz,opus",missing,missing,present,missing
audioinput/output linelevelinputandoutput,missing,missing,present,missing
audit log,present,present,missing,missing
"authentication,fips140-2l1(withoptionalcameralicense),onboardfips140-2l3certifiedtpm,secureboot,signed",missing,missing,present,missing
auxiliaryi/o,missing,missing,present,missing
availableataxis.com,missing,missing,missing,present
availableataxis.com/products/axis-m3905-r#part-,missing,missing,missing,present
availableataxis.com/vms.,missing,missing,missing,present
avigilonsoftwaresupportedfeatures,missing,missing,present,missing
avigilonunityvideo8.0or allsupportedanalyticeventswithpeopleandvehiclesandallvehiclesub-typesasclassifiedobjects.appearance,missing,missing,present,missing
avigilonunityvideo8.4or alladvancedz-wavecompatibilityfeatures.,missing,missing,present,missing
axis calculates the dori values using pixel densities for,missing,missing,missing,present
axis cameras with wide dynamic range (wdr),missing,missing,missing,present
axis edge vault is the hardware-based cybersecurity,missing,missing,missing,present
"axis edgevault color may be the critical factor to identify a person, an",missing,missing,missing,present
axis m3905-r dome camera,missing,missing,missing,present
"axis.com/cybersecurity lensm123.6mm,f2.0:horizontalfieldofview88°",missing,missing,missing,present
axis.com/environmental-responsibility,missing,missing,missing,present
axisabinvariousjurisdictions.allothertrademarksarethepropertyoftheirrespectiveowners.wereservetherightto,missing,missing,missing,present
"axiscamerastationpro,axiscamerastation5,and",missing,missing,missing,present
axiscommunicationsisasignatoryoftheunglobal,missing,missing,missing,present
"axisfenceguard,axisloiteringguard,axismotion",missing,missing,missing,present
axishardeningguide,missing,missing,missing,present
axism3905-rdomecamera,missing,missing,missing,present
axism3905-rm122.8mm h.264(mpeg-4part10/avc)mainandhighprofiles,missing,missing,missing,present
axism3905-rm123.6mm,missing,missing,missing,present
axism3905-rrj452.8mm videocompression,missing,missing,missing,present
axism3905-rrj453.6mm,missing,missing,missing,present
axisossoftwarebillofmaterial(sbom) optional accessories,missing,missing,missing,present
axissecuritydevelopmentmodel,missing,missing,missing,present
"axissitedesigner,axisdevicemanager,product",missing,missing,missing,present
"axist94d01smountbracket,",missing,missing,missing,present
axisvulnerabilitymanagementpolicy,missing,missing,missing,present
"axiszipstream,forensicwdr,lightfinder",missing,missing,missing,present
axiszipstreamtechnologyinh.264andh.265,missing,missing,missing,present
backlightcompensation adjustable,missing,missing,present,missing
"balance,forensicwdr,exposurecontrol,exposure",missing,missing,missing,present
bandwidth and storage requirements by an average of,missing,missing,missing,present
bandwidthmanagement hdsmsmartcodectechnology;idlescenemode,missing,missing,present,missing
behavior 25%powerifbelow-25°c(-13°f),missing,missing,present,missing
"belowoperatingtemperature,belowoperating",missing,missing,missing,present
between the darkest and the brightest spots can spell,missing,missing,missing,present
black,missing,missing,present,missing
black 427c),missing,missing,present,missing
body polycarbonateandaluminum polycarbonateandaluminum polycarbonateandaluminum,missing,missing,present,missing
boxcontent,missing,missing,missing,present
built-in installationaids,missing,missing,missing,present
cabling cat5e,missing,missing,present,missing
cam-fips cameralicensetoenablefipscryptographicmodule.,missing,missing,present,missing
camera,missing,missing,present,missing
camera adjustment,missing,missing,missing,present
camera features,present,present,missing,missing
camera motionjpeg,missing,missing,missing,present
"camera status, motion detection,",present,present,missing,missing
"camera,installationguide,windows®decoder1-user",missing,missing,missing,present
camera: 608g / 21.45oz,present,present,missing,missing
"cameras.bothcameraformsofferlow-lightvisibility,",missing,missing,present,missing
cameratamperdetection yes,missing,missing,present,missing
can be verified as untampered. each camera uses its,missing,missing,missing,present
capacity: from 256gb to 768gb,present,present,missing,missing
captureclearimagesevenintotaldarknesswithourir,missing,missing,present,missing
caralarm upto30meters,missing,missing,present,missing
"card: microsd, sdxc",present,present,missing,missing
"casing axist94d02scurvedmountbracket,",missing,missing,missing,present
"casing tm3101pendantwallmount,axistp3826-ehousing,",missing,missing,missing,present
cd22,present,present,missing,missing
cd22 indoor dome camera,present,present,missing,missing
cd22 pricing,present,present,missing,missing
cd22-256-hw 3mp fixed 10m / 33ft 256gb 30 days – $599,present,present,missing,missing
cd22-512-hw 3mp fixed 10m / 33ft 512gb 60 days – $999,present,present,missing,missing
"cd22-768-hw 3mp fixed 10m / 33ft 768gb 90 days – $1,399",present,present,missing,missing
"ce,ece,kc,rcm,ul/cul,ukca,vcci,weee",missing,missing,missing,present
"centralizedadfsaccountmanagement,password maximum(intermittent):70°c(158°f)",missing,missing,missing,present
certifi cations included accessories,present,present,missing,missing
certifications,missing,missing,present,missing
"certifications/approvals ul,cul,fcc,ic,z-wave",missing,missing,present,missing
cladp-1001 in-ceilingadapter,missing,missing,present,missing
clear image quality hybrid cloud architecture,present,present,missing,missing
"cloud backup, confi gurable retention days,",present,present,missing,missing
clpnl-1011 metalceilingpanelforsuspendedceilinginstallations,missing,missing,present,missing
color:0.02luxat30iref1.2 noisereduction,missing,missing,missing,present
color:0.04luxat30iref2.0,missing,missing,missing,present
color:0.07luxat50iref1.2 spatialfilter(2dnoisereduction),missing,missing,missing,present
color:0.13luxat50iref2.0,missing,missing,missing,present
coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring,missing,missing,missing,present
com/about-axis/sustainability,missing,missing,missing,present
"combinemultipleusecasesintoonewiththeavigilonh6xpdomecamera,empoweringyoutodomorewith",missing,missing,present,missing
"communication (ieee 802.1x, https, axis device id,",missing,missing,missing,present
"compact,readmoreatunglobalcompact.org",missing,missing,missing,present
"compatiblewithaxiscamerastationedge,",missing,missing,missing,present
complianttpmandsecureboot.,missing,missing,present,missing
"compression h.265, h.264 historical video settings adaptive quality1",present,present,missing,missing
"compression, lighting conditions, and camera focus. use",missing,missing,missing,present
connection; 10 / 100 mbps,present,present,missing,missing
connector rj-45,missing,missing,present,missing
connectors,missing,missing,missing,present
connectwithz-wavecompatibledevicestoenhancecontrol beproactivewithadvancedanalyticsthatdetectunusual,missing,missing,present,missing
"control remotezoomandfocus,autofocus,ircutfilter",missing,missing,present,missing
controllableframerateandbandwidth,missing,missing,missing,present
costs.,missing,missing,present,missing
credentialflow/openidauthorizationcodeflowfor -30°cto55°c(-22°fto131°f),missing,missing,missing,present
criteria or fips 140 certified hardware-based,missing,missing,missing,present
crnmt-1001 cornermountadapter,missing,missing,present,missing
"crowd detection, line-crossing",present,present,missing,missing
crowdanalytics.classifiedobjectprivacymasking.,missing,missing,present,missing
crowdsize thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration.,missing,missing,present,missing
cryptographic information used for secure,missing,missing,missing,present
cryptographiccomputingmodule.,missing,missing,missing,present
cybersecurity,missing,missing,missing,present
"cybersecurity/resources lensm122.1mm,f2.2:horizontalfieldofview145°",missing,missing,missing,present
cybersecurityfeaturessuchasanonboardfips140-2level3,missing,missing,present,missing
datasheet,missing,missing,missing,present
datasheet 4mp 8mp,missing,missing,present,missing
"day/nightcontrol automatic,manual,external",missing,missing,present,missing
"depends on factors such as object motion, video",missing,missing,missing,present
details.,missing,missing,present,missing
detect 25px/m(8px/ft) 21.1m(69.2ft),missing,missing,missing,present
detect 25px/m(8px/ft) 50.6m(166.0ft),missing,missing,missing,present
"detect,observe,recognize, identify(dori)",missing,missing,missing,present
"detection, loitering detection",present,present,missing,missing
"devicemanagement snmpv2c,snmpv3",missing,missing,present,missing
"devicestatus:aboveoperatingtemperature,aboveor",missing,missing,missing,present
diagonal: 128° (91°),present,present,missing,missing
different use cases as recommended by the en-62676-4,missing,missing,missing,present
digestauthenticationandoauth2.0rfc6749client operating conditions,missing,missing,missing,present
"digitalptz,presetpositions,guardtour,controlqueue",missing,missing,missing,present
dimensions,present,present,missing,present
"dimensions(dxh) 182mmx132mm;7.16""x5.19"" 219mmx198mm;8.62""x7.79"" 182mmx190mm;7.16""x7.48""",missing,missing,present,missing
directionviolated theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel.,missing,missing,present,missing
distancesintherealworld.,missing,missing,missing,present
dmbbl-1001 replacementcleardomebubble,missing,missing,present,missing
dmbbl-1011 replacementirdomebubble,missing,missing,present,missing
"dmsbl-1001 optionalsmokeddomebubble,notcompatiblewiththeircameras",missing,missing,present,missing
dmsld-1001 weathershieldfordomecameras,missing,missing,present,missing
documentation,missing,missing,missing,present
dogbark upto15meters,missing,missing,present,missing
dome,missing,missing,present,missing
dome (pantone427c)&powdercoat,missing,missing,present,missing
dome (pantone427c)&powdercoat injectionmoldgrey(pantone,missing,missing,present,missing
dome camera,missing,missing,present,missing
dome camera accessories,missing,missing,present,missing
dome camera with in-ceiling mount,missing,missing,present,missing
dome camera with npt adapter,missing,missing,present,missing
dome camera with npt adapter and pendant wall mount,missing,missing,present,missing
dome camera with surface mount,missing,missing,present,missing
dome series,present,present,missing,missing
domebubble polycarbonate polycarbonate polycarbonate,missing,missing,present,missing
dscp,missing,missing,present,missing
dynamicrange wdroff upto83db,missing,missing,present,missing
edge security,missing,missing,missing,present
"edgestorage:recordingongoing,storagedisruption en55032classa,en55035,en61000-6-1,",missing,missing,missing,present
effectively reduces visible noise and artifacts to deliver,missing,missing,missing,present
electrical,missing,missing,present,missing
"electromagneticemissions fccpart15subpartbclassb,ices-003classb",missing,missing,present,missing
electromagneticimmunity n/a,missing,missing,present,missing
electronicimagestabilization yes,missing,missing,present,missing
"electronicshuttercontrol automatic,manual(1/7.5to1/15000sec)",missing,missing,present,missing
"english,german,french,spanish,italian,russian,",missing,missing,missing,present
environment power,missing,missing,missing,present
"environmental iec60529ip66,ip67,ip68(1.8mdepthfor2hours),nema4x,iec60068-2shock&vibration,nemats2sec2.2.7-",missing,missing,present,missing
environmental indoordome outdoordome,missing,missing,present,missing
environmentalresponsibility,missing,missing,missing,present
essential 3mp coverage for,present,present,missing,missing
essential detection easy installation,present,present,missing,missing
"etsien303645,bsiitsecuritylabel storage",missing,missing,missing,present
eu/anden63000:2018,missing,missing,missing,present
eventactions,missing,missing,missing,present
eventconditions,missing,missing,missing,present
extended temperature range: n/a,present,present,missing,missing
external 131°f) poe+),missing,missing,present,missing
"externali/oterminals 1xrelayin,1xrelayout,1x12vdcoutat50ma",missing,missing,present,missing
externalpower 12-24vdc+/-10%,missing,missing,present,missing
"fcc, ices, ce, ukca, rcm, cb,",present,present,missing,missing
field of view (after ldc2) vertical: 71° (63°) cpu ambarella cv25s88,present,present,missing,missing
finish indoor plasticinjectionmoldgrey(pantone427c) plasticinjectionmoldgrey powdercoatgrey&plastic,missing,missing,present,missing
"finnish,turkish,thai,vietnamese",missing,missing,missing,present
flexibility and compliance at your fingertips,missing,missing,present,missing
"flickercontrol 60hz,50hz",missing,missing,present,missing
focal length 2.8mm ir range 10m / 33ft,present,present,missing,missing
for indoor surveillance onboard buses,missing,missing,missing,present
"forensic wdr, it provides details even in challenging light conditions. with traffic light mode, it can distinguish the",missing,missing,missing,present
forensicwdr,missing,missing,missing,present
forensicwdr:upto120dbdependingonscene,missing,missing,missing,present
"formoreaccessories,seeaxis.com/products/axis-",missing,missing,missing,present
"formoreinformation,seeaxis.com/glossary",missing,missing,missing,present
"formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor",missing,missing,present,missing
"forproductsupport,visit:avigilon.comorsales@avigilon.com",missing,missing,present,missing
forsdcardandnasrecommendationsseeaxis.com,missing,missing,missing,present
foundation that all secure operations depend on and,missing,missing,missing,present
frame rate3 24fps live streaming settings,present,present,missing,missing
full-color video with a minimum of motion blur even in,missing,missing,missing,present
"furthermore, signed video ensures that video evidence",missing,missing,missing,present
general,present,present,missing,missing
"general lensm128mm,f1.6:horizontalfieldofview39°",missing,missing,missing,present
"glass,screamingandmore.quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor",missing,missing,present,missing
glassbreak upto15meters,missing,missing,present,missing
"grom-1001 camerasealinggrommet,packof10",missing,missing,present,missing
"grom-1011 pipesealinggrommet,packof10",missing,missing,present,missing
guard,missing,missing,missing,present
guardtours,missing,missing,missing,present
guidelines,missing,missing,missing,present
h.265(mpeg-hpart2/hevc)mainprofile,missing,missing,missing,present
h.265andmotionjpeg,missing,missing,missing,present
h6a-mt-npta1 pendantnptadapter,missing,missing,present,missing
h6xp dome camera,missing,missing,present,missing
hardware:axisedgevaultcybersecurityplatform,missing,missing,missing,present
"high quality (hq): up to 3,000 kbps (default)",present,present,missing,missing
higher,missing,missing,present,missing
higher searchwhenpairedwithappropriateserverhardware.unusualactivitydetection.h.265supported.audioanalytics.,missing,missing,present,missing
highlightedcapabilities,missing,missing,missing,present
horizontal: 97° (78°),present,present,missing,missing
horizontalangle 4mp (16:9)47°–111° (16:9)15°–42°,missing,missing,present,missing
horizontalfieldofview:107°,missing,missing,missing,present
horizontalfieldofview:88° h.264andh.265:25/30fps(50/60hz)inallresolutions,missing,missing,missing,present
housing surfacemount recessedmount pendantmount,missing,missing,present,missing
"https/hsts4,tlsv1.2/v1.34,networktimesecurity",missing,missing,missing,present
https://docs.verkada.com/docs/adaptive-quality-recording-whitepaper.pdf,present,present,missing,missing
https://www.avigilon.com/security-cameras/h6x-dome.,missing,missing,present,missing
humidity 0 to 90% warranty 5 years,present,present,missing,missing
humidity 0-95%non-condensing,missing,missing,present,missing
"i/o:manualtrigger,virtualinput en61000-6-2,ecer10rev.06(eapproval),en50498,",missing,missing,missing,present
identify 250px/m(76px/ft) 2.1m(6.9ft),missing,missing,missing,present
identify 250px/m(76px/ft) 5.1m(16.7ft),missing,missing,missing,present
"iec/en/ul62368-1,can/csac22.2no.62368-1,",missing,missing,missing,present
"iec/en60529ip66,iec/en60529ip67, poweroverethernet(poe)ieee802.3af/802.3attype1",missing,missing,missing,present
"iec/en62262ik10, class1",missing,missing,missing,present
"iec60068-2-1,iec60068-2-2,iec60068-2-27,",missing,missing,missing,present
"iec60068-2-64,iec60068-2-78,iec60068–2–14",missing,missing,missing,present
"iec60721-3-5class5m3(vibrationandshock), typical2.2w,max3.8w",missing,missing,missing,present
"ieee802.1ae(macsecpsk/eap-tls),ieee802.1ar,",missing,missing,missing,present
"ieee802.1x(eap-tls,peap-mschapv2)4,",missing,missing,missing,present
illumination,missing,missing,present,missing
illumination withoutir:0.003luxinmonochrome withoutir:0.004luxinmonochromemode;0.01luxincolormode,missing,missing,present,missing
"image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec.",present,present,missing,missing
"image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and",present,present,missing,missing
"imagecompressionmethod h.264hdsmsmartcodec,h.265hdsmsmartcodec,motionjpeg",missing,missing,present,missing
imagecontrol,missing,missing,present,missing
imageperformance 4.0mp 8.0mp(4kultrahd),missing,missing,present,missing
imageprocessing,missing,missing,missing,present
"imagerotation 0°,90°,180°,270°includingcorridormode",missing,missing,present,missing
imagesensor 1/1.8”progressivescancmos,missing,missing,present,missing
imagesensor resolution,missing,missing,missing,present
important forensic details clearly and seeing nothing but,missing,missing,missing,present
important forensic in the video stream while lowering,missing,missing,missing,present
"in low light better than the human eye. in surveillance,",missing,missing,missing,present
in very low light. cameras with lightfinder discern color,missing,missing,missing,present
in-ceilingmount orderoneof:,missing,missing,present,missing
indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any,present,present,missing,missing
"information is identified, recorded, and sent in full",missing,missing,missing,present
"inj-poe-plus poe plus (802.3at type 2) injector, gige $129",present,present,missing,missing
insidevehicles,missing,missing,missing,present
"installationofthird-partyapplications,seeaxis.com/",missing,missing,missing,present
"intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",missing,missing,present,missing
introducemodificationswithoutnotice.,missing,missing,missing,present
"ip66/67-andik10-ratedaluminumandpolycarbonate networkcouplerip66,networkcablecouplerindoor,",missing,missing,missing,present
"ipv4,ipv6usgv6,http,https2,http/2,tls2,qoslayer notification:http,https,tcpandemail",missing,missing,missing,present
ir illumination poe irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerand,missing,missing,present,missing
irilluminationmaxdistance2 50m(164ft)fulltele 70m(230ft)fulltele,missing,missing,present,missing
iris fixed onboard storage,present,present,missing,missing
"iriscontrol automatic,open,closed,p-iris",missing,missing,present,missing
is13252,missing,missing,missing,present
its integrity and protect sensitive information from,missing,missing,missing,present
key features,present,present,missing,missing
keystore is the critical building-block for protecting,missing,missing,missing,present
l cladp-1001,missing,missing,present,missing
l clpnl-1011(metalceilingpanel),missing,missing,present,missing
l crnmt-1001(cornermountadapter),missing,missing,present,missing
l dmsld-1001(weathershield),missing,missing,present,missing
l h6a-mt-npta1,missing,missing,present,missing
l indoororoutdoorin-ceilingmount,missing,missing,present,missing
l indoororoutdoorsurfacemount,missing,missing,present,missing
l plmt-1001(polemountadapter),missing,missing,present,missing
l wlmt-1021,missing,missing,present,missing
languages,missing,missing,missing,present
lens,missing,missing,missing,present
lens type fixed ir cut filter yes,present,present,missing,missing
lensandir 4.4-9.3mm 10.9-29mm,missing,missing,present,missing
"lensm126mm,f1.6:horizontalfieldofview51°",missing,missing,missing,present
"less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,",missing,missing,present,missing
"lic-cam-10y-cap 10-year camera license, capacity increase $1,999",present,present,missing,missing
"lic-cam-10y-rnw 10-year camera license, renewal $1,999",present,present,missing,missing
"lic-cam-1y-cap 1-year camera license, capacity increase $219",present,present,missing,missing
"lic-cam-1y-rnw 1-year camera license, renewal $219",present,present,missing,missing
"lic-cam-3y-cap 3-year camera license, capacity increase $599",present,present,missing,missing
"lic-cam-3y-rnw 3-year camera license, renewal $599",present,present,missing,missing
"lic-cam-5y-cap 5-year camera license, capacity increase $999",present,present,missing,missing
"lic-cam-5y-rnw 5-year camera license, renewal $999",present,present,missing,missing
"lic-vx-10y-cap 10-year viewing station license, capacity increase $3,999",present,present,missing,missing
"lic-vx-10y-rnw 10-year viewing station license, renewal $3,999",present,present,missing,missing
"lic-vx-1y-cap 1-year viewing station license, capacity increase $499",present,present,missing,missing
"lic-vx-1y-rnw 1-year viewing station license, renewal $499",present,present,missing,missing
"lic-vx-3y-cap 3-year viewing station license, capacity increase $1,299",present,present,missing,missing
"lic-vx-3y-rnw 3-year viewing station license, renewal $1,299",present,present,missing,missing
"lic-vx-5y-cap 5-year viewing station license, capacity increase $1,999",present,present,missing,missing
"lic-vx-5y-rnw 5-year viewing station license, renewal $1,999",present,present,missing,missing
"license,lenstool",missing,missing,missing,present
lightfinder,missing,missing,missing,present
"live links, live face blur, privacy regions,",present,present,missing,missing
loudnoise upto40meters,missing,missing,present,missing
low-lightclarity,missing,missing,present,missing
"m12mount,fixediris",missing,missing,missing,present
m3905-r#accessories,missing,missing,missing,present
makes dark areas in a scene visible and captures details,missing,missing,missing,present
makingthecameramorepowerfulandreducingownershipcosts.,missing,missing,present,missing
margins when planning. the pixel density varies across,missing,missing,missing,present
materials,missing,missing,missing,present
max concurrent streams: 2,present,present,missing,missing
maxaperture f1.3 f1.7,missing,missing,present,missing
maximagerate (50hz/60hz):50fps/60fpsinhighframerate (50hz/60hz):25fps/30fps,missing,missing,present,missing
maximum people/,present,present,missing,missing
"maxresolution primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728",missing,missing,present,missing
mechanical,present,present,missing,missing
mechanical surfacemount in-ceilingmount pendantmount,missing,missing,present,missing
memory,missing,missing,missing,present
"memory 4gbram,4gbflash",missing,missing,present,missing
"microphone built-inmicrophoneforaudioanalytics,forcertainvariants,withphysicaldisableswitch",missing,missing,present,missing
minimizingmaintenancewhileensuringconsistent,missing,missing,present,missing
